Тег;Название трека;Прослушивания;Лайки;Комментарии;Теги из трека
chill;Maand - Bayaan;1138156.0;28589.0;120.0;"""hasan raheem"" "" hassan raheem"" ""bayan new album"" bayaan ""asfar hussain"" safar maand mand lofi House ""R&B & Soul"" Electronic ""Dance & EDM"" ""Deep House"" chill new trending feature desi bollywood bpm rnb nescafe"
chill;Imagine Dragons - Thunder (Danny Delgado Remix);39760891.0;629799.0;8866.0;Imaginedragons Remix Chill Chillout Dance Edm Music
chill;ANEMIA - Zhanbxqq & SKYVER (Slowed);132.0;2.0;0.0;Funk ANEMIA Zhanbxqq SKYVER Slowed chill фонк фонка
chill;ANEMIA - Zhanbxqq & SKYVER (Super Slowed);38.0;1.0;1.0;"Funk ANEMIA Zhanbxqq SKYVER ""Super Slowed"" ""Chill funk"" chill ""Brazilian funk"" ""funk 2025"" фонк фонка"
chill;CHILL;430137.0;7001.0;38.0;
chill;AFSOS (Slowed + Reverb) | Anuv Jain x AP Dhillon | Lofi Chill Song;371986.0;5493.0;26.0;
chill;Cứ Chill Thôi - Chillies ftSuni Hạ Linh & Rhymastic version lofi.....;3866163.0;34711.0;556.0;Lo-Fi
chill;Sao Em Lại Tắt Máy - Ghé Qua;733754.0;3002.0;17.0;"lofi rap ""sao em lai tat may"" chill"
chill;Ngày Em Đẹp Nhất | Tama (Lo-fi ver by Jayzi);2575109.0;11336.0;51.0;Lo-Fi Chill
chill;Yêu Một Người Sao Buồn Đến Thế - Noo Phước Thịnh | Live @ Noo's Chill Night EP.02;1392197.0;8526.0;30.0;
chill;Nhạc Lofi 2024  Những Bản Lofi Mix Mạnh Tít Chill Nhẹ Nhàng Cực Hay  Nhạc Trẻ Lofi Gây Nghiện 2024;2064687.0;17340.0;169.0;
chill;Nơi Vực Nơi Trời Full (Huy PT Remix) - Lê Bảo Bình x meChill;1287914.0;10034.0;71.0;
chill;Giá Như - Noo Phước Thịnh | Live @ Noo's Chill Night EP.01;662153.0;3213.0;8.0;
chill;Nhạc Chill Tiktok 2024 Mới Nhất , Những Lời Hứa Bỏ Quên;1372943.0;10932.0;112.0;
chill;Mazza L20 x A1 - No Chill;296818.0;5464.0;49.0;
chill;Cảm Ơn Em (lofi ver) - Thiên Chí x Air Lofi Chill;223482.0;1578.0;4.0;
trap;GORILLA GLUE, LIL NAKUR - Браги два бидона;1196204;33408;954;
trap;Só Rock 3 (feat. Rock Danger & meLLo);1141771;27298;264;"""Hip Hop/Rap"""
trap;Glitch;143624;433;59;trap zovr
trap;Trap Queen;211829368;2542058;30908;
trap;Alessia Cara - Here [Salako Remix];333403;10935;239;"trap hoodtrap ""chopped & screwed"""
